Frank Vatrano,22,C,BOS,44,10,8,18,-3,14,6,4,0,1,7,1,0,116,8.6,593,13:29,16,51,2,5,28.6
Brandon Pirri,25,RW,NYR,60,8,10,18,-8,25,3,5,0,3,6,4,0,96,8.3,737,12:17,20,41,140,103,57.6
Patrick Sharp,35,LW,DAL,48,8,10,18,-22,31,6,1,1,0,10,0,0,146,5.5,765,15:57,24,24,29,32,47.5
Drake Caggiula,22,LW,EDM,60,7,11,18,3,16,5,2,0,2,7,3,1,93,7.5,794,13:14,19,97,117,167,41.2
Michael Del Zotto,26,D,PHI,51,6,12,18,-5,28,6,0,0,0,10,1,1,92,6.5,995,19:30,85,173,0,1,0
Esa Lindell,22,D,DAL,73,6,12,18,8,22,6,0,0,2,10,2,0,99,6.1,1597,21:52,119,93,0,1,0
Francois Beauchemin,36,D,COL,81,5,13,18,-14,32,5,0,0,1,10,3,0,132,3.8,1743,21:31,156,73,0,0,
Niklas Hjalmarsson,29,D,CHI,73,5,13,18,12,20,5,0,0,0,12,0,1,61,8.2,1569,21:30,181,23,0,0,
Shane Prince,24,LW,NYI,50,5,13,18,-9,18,4,1,0,2,11,2,0,71,7,649,12:58,12,36,4,3,57.1
Alan Quine,23,C,NYI,61,5,13,18,-2,8,3,2,0,1,12,1,0,82,6.1,764,12:31,29,77,264,286,48
Dennis Wideman,33,D,CGY,57,5,13,18,-6,32,3,2,0,1,10,3,0,87,5.7,1153,20:14,74,61,0,0,
Derek Forbort,24,D,LAK,82,2,16,18,8,54,2,0,0,0,15,0,1,100,2,1650,20:07,159,180,1,0,100
Andrew MacDonald,30,D,PHI,73,2,16,18,-5,26,2,0,0,0,15,0,1,65,3.1,1468,20:06,151,39,0,0,
David Schlemko,29,D,SJS,62,2,16,18,4,14,1,1,0,1,14,2,0,118,1.7,1038,16:45,112,35,0,0,
Andrew Copp,22,C,WPG,64,9,8,17,8,18,8,0,1,1,8,0,0,77,11.7,790,12:21,28,87,95,97,49.5
